sector,n,unweighted_fragility_pct,wmedian_fragility_pct,wstrict_fragility_pct,wweak_fragility_pct
Other Services,138,21.014492753623188,25.612941527439116,24.927449864259813,25.98952444027584
Manufacturing,120,16.666666666666664,17.143188609709892,16.83845141412483,17.56679529291369
Retail,100,13.0,11.331729647777903,11.192346466698153,11.491373138231625
