region,n,unweighted_fragility_pct,wmedian_fragility_pct,wstrict_fragility_pct,wweak_fragility_pct
Southern and Eastern,118,22.033898305084744,39.918597016909196,40.24024866731845,39.59709434521164
Western and Northern,116,23.275862068965516,29.108449972855304,28.880712394665004,29.498924970507385
Kigali,124,7.258064516129033,11.26571923030097,11.290414520672002,11.255220135721896
