variable,system_missing,special_negative_codes,pct_any_missing
n2a1,226,25,70.11173184357541
n2e,226,23,69.55307262569832
d13,249,0,69.55307262569832
n7a,226,22,69.27374301675978
d2a1,226,21,68.99441340782123
k31,241,5,68.71508379888269
k32,243,0,67.87709497206704
r1,177,66,67.87709497206704
c11,240,2,67.59776536312849
r10,177,51,63.687150837988824
k20a1,225,3,63.687150837988824
r11,177,50,63.40782122905028
l5a,226,0,63.12849162011173
l3b,226,0,63.12849162011173
l5b,226,0,63.12849162011173
l3a,226,0,63.12849162011173
f1,226,0,63.12849162011173
k4b,226,0,63.12849162011173
c172,225,0,62.849162011173185
r3,224,0,62.56983240223464
n5b,223,0,62.29050279329609
n5a,223,0,62.29050279329609
c162,220,2,62.01117318435754
l32,220,1,61.73184357541899
b4a,219,0,61.1731843575419
l8,218,1,61.1731843575419
l6a,218,0,60.89385474860335
l41,209,0,58.37988826815643
l9b,207,0,57.82122905027933
e31a,196,6,56.42458100558659
c9a,199,1,55.865921787709496
r7,191,0,53.35195530726257
r6,191,0,53.35195530726257
r5,191,0,53.35195530726257
e31b,183,6,52.79329608938548
j35b,183,4,52.23463687150838
k15a,177,3,50.279329608938546
j35a,175,5,50.279329608938546
k14e,178,1,50.0
k14b,178,0,49.720670391061454
k14c,178,0,49.720670391061454
k14a,178,0,49.720670391061454
r8,177,1,49.720670391061454
k14d,178,0,49.720670391061454
k15c,173,4,49.44134078212291
r4,177,0,49.44134078212291
r2,177,0,49.44134078212291
k15b,167,6,48.324022346368714
k11,167,2,47.20670391061452
k10,167,0,46.64804469273743
k13,167,0,46.64804469273743
k9,167,0,46.64804469273743
j40,158,2,44.6927374301676
l9b1,151,0,42.17877094972067
c8b,140,0,39.10614525139665
c8a,140,0,39.10614525139665
k17,134,1,37.70949720670391
c7,134,0,37.43016759776536
l5,132,1,37.150837988826815
h2,120,2,34.07821229050279
j33,99,4,28.77094972067039
c39,0,97,27.094972067039105
c42,0,93,25.977653631284916
j38,0,80,22.3463687150838
d30b,0,79,22.067039106145252
j5,67,2,19.273743016759777
j4,67,0,18.71508379888268
j32,67,0,18.71508379888268
e30,0,62,17.318435754189945
k37,6,52,16.201117318435752
g30a,0,55,15.363128491620111
n3,0,55,15.363128491620111
l2,0,48,13.40782122905028
k40,32,16,13.40782122905028
j30f,0,44,12.29050279329609
g31,0,39,10.893854748603353
j7a,20,19,10.893854748603353
o3a,0,34,9.497206703910615
o3b,0,34,9.497206703910615
e33,0,33,9.217877094972067
k39,32,0,8.938547486033519
j31,0,31,8.659217877094973
n12,0,30,8.379888268156424
e34,0,30,8.379888268156424
k36,6,22,7.82122905027933
h30,0,23,6.424581005586592
n2l,0,20,5.58659217877095
n2a2,9,11,5.58659217877095
n11,0,20,5.58659217877095
c34b,18,0,5.027932960893855
c34,0,18,5.027932960893855
j30e,0,17,4.748603351955308
e11,0,13,3.631284916201117
m1a,0,12,3.35195530726257
c32,0,12,3.35195530726257
k15d,0,12,3.35195530726257
n2a,0,9,2.5139664804469275
k35,6,3,2.5139664804469275
n2k,0,8,2.2346368715083798
k34,4,2,1.675977653631285
b8,0,6,1.675977653631285
b6,0,6,1.675977653631285
k38,0,5,1.3966480446927374
c30a,0,4,1.1173184357541899
d30a,0,4,1.1173184357541899
n2b,0,3,0.8379888268156425
j30c,0,3,0.8379888268156425
c10,0,3,0.8379888268156425
e2b,0,3,0.8379888268156425
k33,0,3,0.8379888268156425
c6,0,3,0.8379888268156425
b6b,0,2,0.5586592178770949
l37,0,2,0.5586592178770949
k82,0,2,0.5586592178770949
b4,0,2,0.5586592178770949
l4a2,0,1,0.27932960893854747
l4a1,0,1,0.27932960893854747
j2,0,1,0.27932960893854747
i30,0,1,0.27932960893854747
j30b,0,1,0.27932960893854747
b5,0,1,0.27932960893854747
l1,0,1,0.27932960893854747
k30,0,1,0.27932960893854747
b1_RWA,0,1,0.27932960893854747
c3,0,1,0.27932960893854747
b1,0,1,0.27932960893854747
l1a,0,1,0.27932960893854747
l6,0,1,0.27932960893854747
l40,0,1,0.27932960893854747
l4b,0,1,0.27932960893854747
k162,0,1,0.27932960893854747
k7,0,1,0.27932960893854747
d12a,0,1,0.27932960893854747
o1,0,1,0.27932960893854747
e32,0,1,0.27932960893854747
d12b,0,1,0.27932960893854747
k21,0,1,0.27932960893854747
a4a,0,0,0.0
idstd,0,0,0.0
a6a,0,0,0.0
c36,0,0,0.0
c22b,0,0,0.0
c152,0,0,0.0
c34bx,0,0,0.0
d3a,0,0,0.0
k6,0,0,0.0
k3hd,0,0,0.0
k4,0,0,0.0
k3e,0,0,0.0
h5,0,0,0.0
h6x,0,0,0.0
h7x,0,0,0.0
g2,0,0,0.0
h4x,0,0,0.0
h1,0,0,0.0
h3x,0,0,0.0
ge3,0,0,0.0
g5bx,0,0,0.0
h8,0,0,0.0
ge7,0,0,0.0
k3bc,0,0,0.0
k3a,0,0,0.0
k3f,0,0,0.0
ge8d,0,0,0.0
d2,0,0,0.0
d1a1a,0,0,0.0
d1a3,0,0,0.0
d1a6cx,0,0,0.0
d2a1x,0,0,0.0
d2x,0,0,0.0
n3x,0,0,0.0
id,0,0,0.0
a3c,0,0,0.0
a3b,0,0,0.0
a13,0,0,0.0
a18,0,0,0.0
a17,0,0,0.0
a16,0,0,0.0
a1a,0,0,0.0
panel,0,0,0.0
a7,0,0,0.0
a6c,0,0,0.0
a3a,0,0,0.0
a0,0,0,0.0
a4b_v4,0,0,0.0
vat_applicable,0,0,0.0
tax_select,0,0,0.0
competition_select,0,0,0.0
a1c,0,0,0.0
a2,0,0,0.0
d38x,0,0,0.0
stratificationsizecode,0,0,0.0
stratificationsectorcode,0,0,0.0
stratificationpanelcode,0,0,0.0
wstrict,0,0,0.0
wmedian,0,0,0.0
a3,0,0,0.0
d1a2_v4,0,0,0.0
stratificationregioncode,0,0,0.0
e1,0,0,0.0
d3b,0,0,0.0
e6,0,0,0.0
d31x,0,0,0.0
d3c,0,0,0.0
b7a,0,0,0.0
b7,0,0,0.0
b2d,0,0,0.0
b1x,0,0,0.0
b3a,0,0,0.0
b2a,0,0,0.0
b2b,0,0,0.0
b2c,0,0,0.0
j13,0,0,0.0
j30_taxrate_pos,0,0,0.0
j30_taxadmin_pos,0,0,0.0
j30_permit_pos,0,0,0.0
j30_instability_pos,0,0,0.0
j30_corruption_pos,0,0,0.0
j30_courts_pos,0,0,0.0
j30_crime_pos,0,0,0.0
j30a,0,0,0.0
