fragility_supplied,fragility_recovered_rule,h1,h2,h5,c22b,l1,fragility_prob,match
1,1,2,,2,2,7,0.83337283,True
0,0,2,,2,1,198,0.013295408,True
0,0,1,1.0,1,1,23,2.6336633e-05,True
0,0,1,1.0,2,1,51,0.013295408,True
0,0,2,,2,1,52,0.013295408,True
1,1,2,,2,2,13,0.83337283,True
0,0,1,1.0,1,1,31,2.6336633e-05,True
1,1,2,,2,2,9,0.83337283,True
0,0,1,2.0,2,1,43,0.013295408,True
0,0,1,1.0,2,2,42,0.83337283,True
0,0,2,,2,1,164,0.013295408,True
0,0,1,2.0,1,2,15,0.0096811233,True
0,0,1,2.0,1,2,10,0.0096811233,True
0,0,1,2.0,1,2,12,0.0096811233,True
0,0,1,1.0,1,2,5,0.0096811233,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,1,1.0,1,2,7,0.0096811233,True
0,0,2,,2,1,21,0.013295408,True
1,1,2,,2,2,20,0.83337283,True
0,0,2,,2,1,25,0.013295408,True
0,0,1,1.0,1,2,30,0.0096811233,True
0,0,2,,2,1,44,0.013295408,True
0,0,2,,2,1,25,0.013295408,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,2,,2,1,32,0.013295408,True
0,0,2,,2,1,648,0.013295408,True
0,0,1,2.0,1,2,36,0.0096811233,True
0,0,1,1.0,2,1,11,0.013295408,True
0,0,1,1.0,1,2,10,0.0096811233,True
1,1,2,,2,2,10,0.83337283,True
0,0,1,2.0,1,1,15,2.6336633e-05,True
0,0,2,,2,1,40,0.013295408,True
0,0,1,1.0,1,1,22,2.6336633e-05,True
0,0,1,1.0,2,2,22,0.83337283,True
1,1,2,,2,2,8,0.83337283,True
0,0,2,,1,1,31,2.6336633e-05,True
0,0,2,,1,1,19,2.6336633e-05,True
1,1,2,,2,2,12,0.83337283,True
1,1,2,,2,2,22,0.83337283,True
1,1,2,,2,2,11,0.83337283,True
0,0,2,,2,1,7,0.013295408,True
0,0,1,1.0,1,1,5,2.6336633e-05,True
0,0,1,1.0,1,1,112,2.6336633e-05,True
0,0,1,2.0,1,2,22,0.0096811233,True
0,0,2,,2,1,134,0.013295408,True
0,0,1,1.0,1,1,56,2.6336633e-05,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,1,2.0,1,2,30,0.0096811233,True
0,0,2,,1,2,18,0.0096811233,True
0,0,1,1.0,2,2,4,0.83337283,True
0,0,1,1.0,1,1,432,2.6336633e-05,True
0,0,1,2.0,1,2,98,0.0096811233,True
1,1,2,,2,2,15,0.83337283,True
1,1,1,2.0,2,2,17,0.83337283,True
0,0,2,,2,1,43,0.013295408,True
0,0,2,,1,1,6,2.6336633e-05,True
1,1,2,,2,2,6,0.83337283,True
1,1,2,,2,2,29,0.83337283,True
1,1,2,,2,2,29,0.83337283,True
0,0,2,,2,1,6,0.013295408,True
0,0,2,,1,1,112,2.6336633e-05,True
0,0,1,2.0,1,1,24,2.6336633e-05,True
1,1,2,,2,2,40,0.83337283,True
1,1,2,,2,2,23,0.83337283,True
1,1,2,,2,2,25,0.83337283,True
0,0,1,2.0,2,1,235,0.013295408,True
0,0,2,,1,2,5,0.0096811233,True
0,0,2,,2,1,16,0.013295408,True
1,1,2,,2,2,30,0.83337283,True
0,0,1,2.0,1,1,56,2.6336633e-05,True
1,1,2,,2,2,5,0.83337283,True
0,0,1,2.0,2,1,10,0.013295408,True
0,0,1,1.0,1,1,12,2.6336633e-05,True
0,0,2,,1,1,5,2.6336633e-05,True
0,0,2,,2,1,16,0.013295408,True
1,1,2,,2,2,9,0.83337283,True
0,0,1,1.0,1,2,6,0.0096811233,True
