Group,N,Unweighted (%),wmedian (%),wstrict (%),wweak (%)
Southern/Eastern,117,20.51,35.38,35.54,35.12
Western/Northern,111,24.32,30.12,29.88,30.54
Kigali,130,8.46,12.95,12.86,12.99
