group,category,test_n,fragile_n,accuracy,precision,recall,specificity,mean_predicted_probability
Region,Kigali,33,1,0.6666666666666666,0.08333333333333333,1.0,0.65625,0.37833618508011646
Region,Southern and Eastern,29,9,0.6551724137931034,0.4666666666666667,0.7777777777777778,0.6,0.511919180294881
Region,Western and Northern,28,6,0.5,0.25,0.6666666666666666,0.45454545454545453,0.4991638902003907
Sector,Manufacturing,30,3,0.7,0.2,0.6666666666666666,0.7037037037037037,0.3815916113540701
Sector,Other Services,38,8,0.631578947368421,0.35,0.875,0.5666666666666667,0.4790976973421464
Sector,Retail,22,5,0.45454545454545453,0.23076923076923078,0.6,0.4117647058823529,0.5297217464628482
Firm size,Large,14,0,1.0,0.0,0.0,1.0,0.11579397202636134
Firm size,Medium,33,5,0.6363636363636364,0.23076923076923078,0.6,0.6428571428571429,0.465376021639222
Firm size,Small,43,11,0.46511627906976744,0.3,0.8181818181818182,0.34375,0.565786393938208
