firm_size,n,unweighted_fragility_pct,wmedian_fragility_pct,wstrict_fragility_pct,wweak_fragility_pct
Small,171,23.391812865497073,23.19952765648617,22.850408928425193,23.34247418663476
Large,57,7.017543859649122,16.583742837891904,15.70673363291761,17.643329739608316
Medium,130,13.846153846153847,12.055898581913462,11.775269337766673,12.37383309529742
