predictor,coefficient,abs_coefficient
h5,2.001800191469926,2.001800191469926
c22b,1.951396876878448,1.951396876878448
h1,0.41979740940281896,0.41979740940281896
k162,0.14004898835138999,0.14004898835138999
k82,0.09328309621369088,0.09328309621369088
h8,0.0,0.0
h2,0.0,0.0
k3a,0.0,0.0
k3bc,0.0,0.0
k33,0.0,0.0
a4a,0.0,0.0
a6a,0.0,0.0
b6,0.0,0.0
