fragility_risk_flex,fragility_prob,change_permanent_employment,change_temporary_employment,revenue_volatility,capacity_utilization_change,internet_for_business,external_finance_assets,delayed_client_payments,late_supplier_payments,digital_platform_difficulty,ecommerce_share,sector,firm_size,manager_experience_years,omega_score,fragility_label,revenue_volatility_binary,digital_platform_difficulty_binary
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,60,2,1,6,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,1,4,100,0,1,100,3,3,102,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,4,4,70,0,2,40,1,2,10,0.0096811233,Non-fragile,0,1
0,0.0096811233,2,,1,2,1,1,70,0,2,30,2,1,1,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,15,2,1,5,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,1,3,60,40,1,3,1,3,20,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,1,2,100,0,2,80,3,3,120,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,65,2,2,10,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,1,0,100,2,20,2,1,4,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,1,0,80,2,40,1,2,2,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,1,1,70,0,1,99,1,2,250,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,2,,1,2,1,1,15,85,1,90,1,3,16,2.6336633e-05,Non-fragile,0,0
0,0.013295408,1,1.0,2,2,2,1,70,10,1,100,3,2,6,0.013295408,Non-fragile,1,0
1,0.83337283,1,2.0,2,2,2,2,55,0,2,20,1,1,4,0.83337283,Fragile,1,1
0,2.6336633e-05,1,2.0,1,2,4,1,80,20,1,95,3,3,150,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,4,4,90,0,2,80,3,1,3,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,1,1,1,60,20,1,70,3,2,45,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,1,3,1,18,80,1,40,2,3,16,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,1,4,80,0,2,70,3,1,4,0.83337283,Fragile,1,1
0,0.0096811233,1,2.0,1,2,1,4,75,25,2,40,2,1,2,0.0096811233,Non-fragile,0,1
0,0.013295408,1,1.0,2,2,1,1,80,5,1,10,3,2,4,0.013295408,Non-fragile,1,0
0,0.013295408,1,1.0,2,2,3,1,100,0,1,50,3,3,10,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,1,1,40,60,2,50,2,1,6,0.0096811233,Non-fragile,0,1
0,0.013295408,1,1.0,2,2,4,4,100,0,1,90,3,2,30,0.013295408,Non-fragile,1,0
0,0.013295408,1,1.0,2,1,1,3,70,30,1,90,1,3,100,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,80,3,2,8,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,1,45,55,1,80,3,3,48,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,1,1,60,40,1,30,2,1,10,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,4,70,30,1,80,3,2,12,0.013295408,Non-fragile,1,0
0,2.6336633e-05,2,,1,2,2,2,70,20,1,30,3,2,18,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,1,4,60,40,2,60,1,1,6,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,1,3,3,80,20,1,2,3,3,10,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,1,60,30,2,20,2,1,3,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,2,,1,2,3,1,10,90,1,50,2,3,15,2.6336633e-05,Non-fragile,0,0
0,0.013295408,1,1.0,2,2,4,1,85,15,1,55,2,2,17,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,4,4,70,0,2,50,2,1,4,0.0096811233,Non-fragile,0,1
1,0.83337283,1,2.0,2,2,-9,4,100,0,2,25,2,1,4,0.83337283,Fragile,1,1
0,0.0096811233,1,2.0,1,2,1,1,60,0,2,15,2,1,1,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,90,1,2,6,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,1,4,4,100,0,1,10,1,2,6,2.6336633e-05,Non-fragile,0,0
0,0.83337283,1,1.0,2,2,1,2,50,40,2,50,3,1,5,0.83337283,Non-fragile,1,1
0,0.0096811233,1,1.0,1,2,4,2,70,30,2,10,2,1,3,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,4,30,70,2,20,2,1,2,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,1,4,100,0,1,100,1,3,560,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,4,4,100,0,1,75,3,2,14,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,1,1,1,90,5,1,90,1,3,15,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,1,4,70,30,1,93,3,2,16,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,1,80,0,2,20,2,1,3,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,70,3,3,350,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,1,1,70,30,1,40,1,3,40,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,4,4,70,0,2,2,2,1,2,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,95,0,1,95,3,2,25,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,95,3,2,-9,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,45,2,1,2,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,1,4,1,60,30,1,-9,3,2,5,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,4,2,70,20,2,70,1,1,5,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,2,3,60,40,2,5,2,1,3,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,2,,1,2,4,4,100,0,1,95,2,3,95,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,60,3,2,24,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,1,100,0,1,80,3,2,10,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,4,4,75,0,2,65,2,1,8,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,90,3,2,16,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,4,30,60,2,40,2,1,4,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,70,3,2,8,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,1,1,1,80,20,1,98,3,3,80,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,1,50,0,2,55,1,2,10,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,4,100,0,2,55,2,1,2,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,4,20,80,2,95,3,3,-9,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,4,4,85,0,1,60,3,2,10,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,4,4,10,0,2,-9,2,2,2,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,1,1,1,30,70,2,100,1,1,2,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,1,1,45,20,1,90,1,2,35,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,1,1,100,0,1,70,3,2,8,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,90,1,3,486,2.6336633e-05,Non-fragile,0,0
0,0.013295408,1,1.0,2,1,1,3,60,40,1,15,2,3,56,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,1,4,70,30,2,95,1,2,-9,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,85,3,2,25,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,4,1,65,0,2,60,1,1,11,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,100,0,2,10,3,2,8,0.83337283,Fragile,1,1
0,0.0096811233,1,2.0,1,2,4,4,80,0,2,15,2,1,3,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,4,4,70,0,1,75,3,1,12,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,2,,1,2,1,4,100,0,1,90,3,3,205,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,1,50,50,2,75,2,1,4,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,1,1,60,40,1,10,3,3,6,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,2,4,80,20,1,30,1,3,80,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,1,60,0,2,10,2,1,2,0.0096811233,Non-fragile,0,1
1,0.0096811233,1,2.0,1,2,4,4,85,10,2,75,2,1,1,0.0096811233,Fragile,0,1
0,0.0096811233,1,1.0,1,2,1,1,30,60,2,10,1,2,40,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,1,1,40,60,1,100,1,2,6,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,1,1,50,50,1,20,2,1,2,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,4,4,100,0,1,80,3,2,25,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,1,1,50,50,2,10,2,1,2,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,80,2,2,2,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,4,80,0,1,50,3,2,16,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,1,4,70,20,2,65,2,1,2,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,1,0,0,2,40,2,1,2,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,1,1,1,30,70,1,80,2,2,4,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,1,4,80,0,2,70,3,1,2,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,1,1,50,30,1,10,3,2,9,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,1,4,65,35,2,100,3,3,30,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,2,1,1,60,0,1,70,3,1,4,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,4,4,70,0,2,40,1,2,5,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,1,1,70,30,1,45,3,3,58,2.6336633e-05,Non-fragile,0,0
0,0.013295408,1,1.0,2,2,1,4,0,100,1,100,1,3,50,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,1,1,100,0,2,100,2,2,40,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,1,4,4,60,25,1,70,3,3,37,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,2.0,1,2,1,4,80,0,1,100,1,2,360,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,1.0,1,2,1,4,60,40,2,30,2,1,3,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,1,1,2,60,40,1,98,1,3,-9,2.6336633e-05,Non-fragile,0,0
0,2.6336633e-05,1,1.0,1,2,1,1,50,50,1,50,2,1,6,2.6336633e-05,Non-fragile,0,0
0,0.0096811233,1,2.0,1,2,3,1,25,60,2,80,1,3,156,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,2.0,1,2,1,4,75,25,1,80,1,2,20,2.6336633e-05,Non-fragile,0,0
