fragility_risk_flex,omega_score,h1,h2,h5,h8,k82,k162,k3a,k3bc,c22b,k33,a4a,a6a,b6
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",100,0,No,90,Manufacturing,Medium,4
0,0.1731844,Yes,No,Yes,No,No,"Yes, a loan only",60,0,No,45,Retail,Small,2
0,0.1731844,No,,No,No,No,No,70,0,Yes,90,Retail,Small,5
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,55,Other Services,Medium,25
0,0.1731844,Yes,No,Yes,Yes,"Yes, a loan only",Don't know (spontaneous),60,40,No,80,Manufacturing,Medium,11
0,0.1731844,No,,Yes,No,"Yes, a loan only","Yes, a loan only",70,0,No,30,Retail,Small,1
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,75,Manufacturing,Medium,25
0,0.1731844,No,,Yes,No,"Yes, a loan only","Yes, both a line of credit and a loan",20,80,Yes,10,Manufacturing,Medium,15
0,0.1731844,No,,No,No,"Yes, a loan only",No,70,30,Yes,70,Other Services,Medium,10
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,95,Other Services,Medium,21
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",30,50,Yes,75,Other Services,Large,15
0,0.1731844,Yes,No,Yes,No,No,No,90,0,Yes,70,Retail,Medium,30
0,0.1731844,Yes,No,Yes,No,No,No,60,0,No,45,Other Services,Small,7
0,0.1731844,No,,Yes,No,"Yes, a loan only","Yes, a loan only",15,85,Yes,90,Manufacturing,Large,16
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,100,0,Yes,99,Manufacturing,Medium,26
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",50,30,Yes,100,Manufacturing,Large,58
0,0.1731844,No,,No,No,No,No,100,0,Yes,70,Retail,Small,4
0,0.1731844,Yes,Yes,Yes,No,No,No,90,0,No,80,Other Services,Small,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,60,0,No,65,Manufacturing,Small,4
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,15,Retail,Small,5
0,0.1731844,No,,No,No,"Yes, a loan only",No,60,40,Yes,10,Manufacturing,Medium,15
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,75,25,No,40,Retail,Small,2
0,0.1731844,Yes,No,No,No,No,No,100,0,Yes,70,Other Services,Small,16
0,0.1731844,Yes,No,Yes,No,"Yes, a line of credit only","Yes, both a line of credit and a loan",60,40,No,5,Retail,Small,3
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,60,Manufacturing,Small,20
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",70,0,No,60,Other Services,Small,5
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only","Yes, a loan only",50,35,No,80,Other Services,Small,13
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",80,0,No,20,Retail,Small,3
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",60,40,Yes,30,Retail,Small,10
0,0.1731844,Yes,Yes,No,Yes,"Yes, a loan only","Yes, both a line of credit and a loan",70,30,Yes,90,Manufacturing,Large,100
0,0.1731844,Yes,No,No,No,No,No,100,0,Yes,80,Other Services,Small,12
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",60,0,Yes,70,Other Services,Small,4
0,0.1731844,Yes,Yes,Yes,No,No,No,80,0,Yes,15,Manufacturing,Small,7
0,0.1731844,No,,Yes,No,"Yes, a line of credit only","Yes, a line of credit only",70,20,Yes,30,Other Services,Medium,18
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,40,0,No,30,Other Services,Medium,40
0,0.1731844,Yes,No,Yes,No,No,"Yes, a line of credit only",70,20,No,70,Manufacturing,Small,5
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,78,Retail,Small,4
0,0.1731844,Yes,Yes,No,No,No,No,70,30,Yes,80,Other Services,Small,5
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",50,50,No,10,Retail,Small,2
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a line of credit only",70,0,Yes,30,Manufacturing,Small,11
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",65,0,No,55,Manufacturing,Medium,5
1,0.1731844,No,,No,No,No,No,70,10,No,100,Manufacturing,Small,4
1,0.1731844,No,,No,No,No,No,30,0,No,70,Other Services,Small,6
1,0.1731844,No,,No,No,No,No,100,0,No,40,Other Services,Small,5
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",70,30,No,60,Other Services,Small,6
1,0.1731844,No,,No,No,No,"Yes, a loan only",70,10,No,10,Manufacturing,Medium,2
1,0.1731844,No,,No,No,No,No,100,0,No,5,Manufacturing,Medium,5
1,0.1731844,No,,No,No,No,No,100,0,No,5,Manufacturing,Medium,10
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",60,40,No,3,Manufacturing,Medium,3
1,0.1731844,No,,No,No,No,No,80,0,No,5,Other Services,Small,3
1,0.1731844,No,,No,No,"Yes, a loan only",No,80,0,No,70,Other Services,Small,4
1,0.1731844,Yes,No,No,No,No,No,90,0,No,90,Other Services,Small,5
1,0.1731844,No,,No,No,"Yes, a loan only",No,70,30,No,30,Other Services,Medium,60
1,0.1731844,Yes,No,No,No,"Yes, a loan only","Yes, a loan only",10,90,No,60,Other Services,Small,3
1,0.1731844,Yes,No,No,No,Don't know (spontaneous),No,100,0,No,25,Retail,Small,4
1,0.1731844,No,,No,No,No,No,70,0,No,20,Manufacturing,Medium,10
1,0.1731844,Yes,No,No,No,"Yes, a loan only","Yes, both a line of credit and a loan",39,10,No,10,Other Services,Large,20
1,0.1731844,No,,No,No,"Yes, a loan only",No,0,60,No,90,Other Services,Medium,8
1,0.1731844,No,,No,No,No,No,40,0,No,80,Other Services,Medium,50
1,0.1731844,No,,No,No,No,No,50,50,No,80,Other Services,Small,6
1,0.1731844,Yes,No,Yes,No,No,No,85,10,No,75,Retail,Small,1
1,0.1731844,No,,No,No,"Yes, a loan only",No,70,30,No,70,Other Services,Large,4
1,0.1731844,No,,No,No,"Yes, a loan only",No,80,0,No,70,Other Services,Small,2
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",50,50,No,20,Manufacturing,Medium,6
1,0.1731844,No,,No,No,No,No,100,0,No,65,Manufacturing,Small,2
1,0.1731844,No,,No,No,"Yes, a line of credit only",No,50,50,No,20,Retail,Large,30
1,0.1731844,No,,No,No,No,No,100,0,No,50,Retail,Medium,5
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",70,0,No,60,Other Services,Small,6
1,0.1731844,No,,No,No,No,No,100,0,No,2,Retail,Small,3
1,0.1731844,Yes,No,No,No,No,No,0,0,No,100,Manufacturing,Medium,17
1,0.1731844,No,,No,No,No,No,100,0,No,40,Other Services,Small,4
1,0.1731844,No,,No,No,"Yes, a loan only",No,50,40,No,45,Other Services,Small,4
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, both a line of credit and a loan",30,50,No,10,Manufacturing,Small,3
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",65,35,No,5,Manufacturing,Medium,48
1,0.1731844,Yes,No,No,No,"Yes, a loan only",No,80,20,No,70,Retail,Small,2
1,0.1731844,No,,No,Yes,"Yes, a loan only",No,60,40,No,30,Manufacturing,Medium,10
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",60,20,No,60,Manufacturing,Medium,10
1,0.1731844,No,,No,No,No,No,60,40,No,70,Retail,Small,1
1,0.1731844,No,,No,No,No,No,100,0,No,40,Other Services,Small,5
1,0.1731844,No,,No,No,No,No,100,0,No,3,Manufacturing,Small,6
1,0.1731844,Yes,No,No,No,"Yes, a line of credit only","Yes, a line of credit only",55,0,No,20,Manufacturing,Small,4
1,0.1731844,No,,No,No,No,No,50,0,No,20,Other Services,Small,6
1,0.1731844,No,,No,No,No,No,100,0,No,70,Manufacturing,Medium,10
1,0.1731844,No,,No,No,No,No,100,0,No,10,Other Services,Medium,8
1,0.1731844,No,,No,No,No,No,100,0,No,15,Other Services,Small,1
1,0.1731844,No,,No,No,No,No,45,0,No,100,Retail,Small,30
1,0.1731844,No,,No,No,"Yes, a loan only",No,60,40,No,60,Manufacturing,Small,6
1,0.1731844,Yes,Don't know (spontaneous),No,No,No,No,100,0,Yes,100,Other Services,Small,8
1,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",60,0,No,30,Retail,Small,5
1,0.1731844,No,,No,No,No,No,100,0,No,50,Manufacturing,Small,6
1,0.1731844,No,,No,No,No,No,100,0,No,20,Manufacturing,Medium,6
1,0.1731844,Yes,No,No,No,No,No,80,0,No,90,Retail,Small,3
1,0.1731844,No,,No,No,"Yes, a loan only",No,65,35,No,100,Other Services,Large,30
1,0.1731844,No,,No,No,"Yes, a loan only",No,50,40,No,70,Other Services,Small,4
1,0.1731844,No,,No,No,No,No,60,0,No,70,Other Services,Small,3
1,0.1731844,No,,No,No,No,No,100,0,No,5,Other Services,Small,1
1,0.1731844,No,,No,No,No,No,100,0,No,60,Retail,Small,7
1,0.1731844,No,,No,No,No,No,80,0,No,50,Retail,Small,2
1,0.1731844,No,,No,No,No,No,50,30,No,65,Other Services,Small,5
1,0.1731844,Yes,No,No,No,No,No,100,0,No,60,Retail,Small,7
1,0.1731844,No,,No,No,No,No,70,0,No,80,Other Services,Small,5
1,0.1731844,No,,No,No,No,No,100,0,No,5,Other Services,Small,2
