h1,h2,h5,h8,k82,k162,k3a,k3bc,c22b,k33,a4a,a6a,b6
2,,2,2,1,4,0,60,2,90,3,2,8
2,,2,2,1,4,80,20,1,80,1,2,8
1,1.0,1,2,4,4,100,0,2,30,2,2,40
2,,2,2,4,4,100,0,1,1,1,2,2
2,,2,2,4,4,65,35,1,60,3,2,18
1,2.0,1,2,1,4,50,0,2,50,1,1,2
2,,2,2,1,1,70,30,1,40,3,2,57
2,,2,2,1,1,50,30,1,100,1,3,58
1,2.0,1,2,1,4,40,0,2,30,3,2,40
1,1.0,2,2,4,4,75,25,1,80,3,1,20
1,1.0,1,2,4,4,100,0,2,60,1,1,20
2,,2,2,4,4,100,0,2,3,1,1,6
1,2.0,1,2,4,4,100,0,1,80,3,1,10
2,,2,2,1,4,70,30,1,70,3,2,10
1,1.0,1,2,4,4,100,0,1,70,3,2,15
1,1.0,2,2,1,4,50,40,2,90,1,3,40
2,,2,2,4,4,100,0,2,40,3,1,4
2,,1,2,4,4,100,0,1,60,3,2,31
2,,1,2,1,3,20,80,1,10,1,2,15
2,,2,2,1,1,60,0,2,30,2,1,5
2,,2,2,4,4,100,0,2,20,1,2,6
2,,2,2,1,3,30,50,2,10,1,1,3
2,,2,2,1,4,80,20,1,70,1,3,7
1,1.0,1,2,4,4,100,0,1,70,1,1,1
1,1.0,1,2,4,4,45,35,1,10,1,3,5
1,2.0,1,1,1,-9,60,40,2,80,1,2,11
2,,2,2,1,1,85,15,1,80,1,3,2
1,1.0,1,2,1,4,60,40,1,25,1,2,20
1,2.0,1,2,1,4,10,90,2,100,1,1,5
1,2.0,1,2,2,2,25,75,2,95,1,2,24
2,,1,2,1,2,70,25,2,30,1,1,12
1,1.0,2,2,4,4,60,0,2,50,3,1,2
1,1.0,1,2,1,3,52,28,1,20,1,3,8
1,2.0,1,2,4,4,100,0,2,75,1,2,25
2,,2,2,4,4,45,0,2,100,2,1,30
1,2.0,2,2,4,4,0,0,2,100,1,2,17
2,,2,2,1,4,60,40,1,10,1,2,15
2,,1,2,4,2,80,0,1,35,2,1,4
2,,2,2,4,4,100,0,2,2,2,1,3
2,,2,2,1,1,50,50,2,20,1,2,6
2,,2,2,4,4,100,0,2,50,2,2,5
2,,2,2,4,1,80,15,1,90,2,1,3
2,,1,2,4,4,80,0,1,80,1,3,95
1,2.0,1,2,4,4,100,0,1,80,3,2,10
2,,2,2,4,4,100,0,2,70,1,2,10
2,,2,2,4,4,100,0,2,5,1,2,10
2,,2,2,4,4,100,0,2,5,1,2,5
1,2.0,2,2,3,4,100,0,1,95,1,3,110
2,,1,2,3,4,10,90,2,2,1,1,2
2,,2,2,1,4,50,50,1,50,1,2,16
2,,2,2,4,4,70,0,2,20,1,2,10
1,2.0,1,2,4,4,100,0,1,70,3,2,18
2,,2,2,4,4,80,0,2,50,2,1,2
1,2.0,2,2,4,4,100,0,1,80,3,1,6
1,1.0,1,2,4,1,40,60,1,85,2,1,5
2,,1,2,1,1,70,30,1,80,2,1,1
2,,2,2,4,4,70,0,1,90,2,1,5
2,,2,2,4,4,70,0,2,80,3,1,5
1,1.0,1,2,1,1,40,40,2,80,3,1,5
1,2.0,1,2,4,4,60,0,1,80,3,1,18
1,2.0,2,2,4,4,100,0,1,80,3,1,4
1,2.0,1,2,4,4,100,0,1,70,3,2,45
1,1.0,1,2,1,4,50,50,1,60,3,2,20
1,2.0,1,2,1,4,70,30,2,60,3,2,10
2,,2,2,2,4,50,50,2,20,2,3,30
2,,2,2,4,4,100,0,1,2,1,2,2
2,,1,2,1,4,90,10,1,70,1,3,50
2,,2,2,4,4,100,0,1,20,1,1,6
2,,2,2,4,4,70,10,2,100,1,1,4
1,1.0,1,2,4,4,100,0,2,20,2,2,9
1,2.0,2,2,1,1,10,90,2,60,3,1,3
1,1.0,1,2,1,1,80,10,2,50,2,2,18
2,,2,2,4,4,80,0,1,60,2,1,2
2,,2,2,4,4,100,0,2,60,2,1,7
1,2.0,1,2,1,1,80,20,2,35,2,1,3
1,1.0,1,2,1,1,60,40,2,70,2,1,4
1,2.0,1,2,1,1,60,20,2,3,1,3,5
1,1.0,1,2,4,4,100,0,2,60,2,1,3
2,,2,2,4,4,80,0,2,5,3,1,3
2,,2,2,4,4,100,0,2,5,3,1,2
1,1.0,1,2,1,2,70,0,1,30,1,1,11
1,1.0,1,2,4,4,80,0,1,15,1,1,7
2,,2,1,1,4,60,40,2,30,1,2,10
2,,2,2,4,4,100,0,2,40,3,1,5
2,,2,2,1,4,70,30,2,30,3,2,60
2,,2,2,1,4,70,30,2,70,3,3,4
1,1.0,1,2,2,4,80,0,1,40,2,2,20
1,2.0,1,2,1,4,75,0,2,25,2,1,2
1,2.0,1,2,4,4,100,0,2,78,2,1,4
2,,2,2,4,4,30,0,2,70,3,1,6
2,,2,2,1,2,60,40,1,40,3,2,40
2,,2,2,1,1,70,30,1,40,3,2,12
1,2.0,1,2,4,4,100,0,2,90,2,1,3
1,2.0,2,2,1,4,80,20,2,70,2,1,2
1,2.0,2,2,4,4,100,0,2,60,2,1,7
2,,2,2,4,4,50,30,2,65,3,1,5
1,2.0,1,2,1,4,55,45,1,85,2,1,14
1,2.0,1,2,1,4,90,10,1,95,1,2,-9
1,2.0,1,2,4,1,60,0,2,45,2,1,2
1,1.0,1,2,4,4,100,0,1,60,2,1,6
1,1.0,1,2,1,4,100,0,1,100,3,3,102
1,2.0,1,2,4,4,70,0,2,40,1,2,10
2,,1,2,1,1,70,0,2,30,2,1,1
1,2.0,1,2,4,4,100,0,2,15,2,1,5
2,,2,2,1,3,60,40,1,3,1,3,20
1,1.0,1,2,1,2,100,0,2,80,3,3,120
1,2.0,1,2,4,4,100,0,1,65,2,2,10
1,1.0,1,2,1,1,0,100,2,20,2,1,4
1,1.0,1,2,1,1,0,80,2,40,1,2,2
1,1.0,1,2,1,1,70,0,1,99,1,2,250
2,,1,2,1,1,15,85,1,90,1,3,16
1,1.0,2,2,2,1,70,10,1,100,3,2,6
1,2.0,2,2,2,2,55,0,2,20,1,1,4
1,2.0,1,2,4,1,80,20,1,95,3,3,150
1,1.0,1,2,4,4,90,0,2,80,3,1,3
2,,2,1,1,1,60,20,1,70,3,2,45
1,2.0,1,1,3,1,18,80,1,40,2,3,16
2,,2,2,1,4,80,0,2,70,3,1,4
1,2.0,1,2,1,4,75,25,2,40,2,1,2
1,1.0,2,2,1,1,80,5,1,10,3,2,4
1,1.0,2,2,3,1,100,0,1,50,3,3,10
1,2.0,1,2,1,1,40,60,2,50,2,1,6
1,1.0,2,2,4,4,100,0,1,90,3,2,30
1,1.0,2,1,1,3,70,30,1,90,1,3,100
1,2.0,1,2,4,4,100,0,1,80,3,2,8
1,2.0,1,2,1,1,45,55,1,80,3,3,48
2,,2,2,1,1,60,40,1,30,2,1,10
2,,2,2,4,4,70,30,1,80,3,2,12
2,,1,2,2,2,70,20,1,30,3,2,18
2,,2,2,1,4,60,40,2,60,1,1,6
1,1.0,1,1,3,3,80,20,1,2,3,3,10
1,1.0,1,2,1,1,60,30,2,20,2,1,3
2,,1,2,3,1,10,90,1,50,2,3,15
1,1.0,2,2,4,1,85,15,1,55,2,2,17
1,2.0,1,2,4,4,70,0,2,50,2,1,4
1,2.0,2,2,-9,4,100,0,2,25,2,1,4
1,2.0,1,2,1,1,60,0,2,15,2,1,1
1,1.0,1,2,4,4,100,0,1,90,1,2,6
1,1.0,1,1,4,4,100,0,1,10,1,2,6
1,1.0,2,2,1,2,50,40,2,50,3,1,5
1,1.0,1,2,4,2,70,30,2,10,2,1,3
1,1.0,1,2,1,4,30,70,2,20,2,1,2
1,1.0,1,2,1,4,100,0,1,100,1,3,560
2,,2,2,4,4,100,0,1,75,3,2,14
1,1.0,1,1,1,1,90,5,1,90,1,3,15
1,1.0,1,2,1,4,70,30,1,93,3,2,16
1,2.0,1,2,1,1,80,0,2,20,2,1,3
1,2.0,1,2,4,4,100,0,1,70,3,3,350
2,,2,2,1,1,70,30,1,40,1,3,40
1,1.0,1,2,4,4,70,0,2,2,2,1,2
1,2.0,1,2,4,4,95,0,1,95,3,2,25
1,1.0,1,2,4,4,100,0,1,95,3,2,-9
1,2.0,1,2,4,4,100,0,2,45,2,1,2
2,,2,1,4,1,60,30,1,-9,3,2,5
1,2.0,1,2,4,2,70,20,2,70,1,1,5
1,2.0,1,2,2,3,60,40,2,5,2,1,3
2,,1,2,4,4,100,0,1,95,2,3,95
1,2.0,1,2,4,4,100,0,1,60,3,2,24
1,2.0,1,2,1,1,100,0,1,80,3,2,10
1,1.0,1,2,4,4,75,0,2,65,2,1,8
1,2.0,1,2,4,4,100,0,1,90,3,2,16
1,1.0,1,2,1,4,30,60,2,40,2,1,4
1,2.0,1,2,4,4,100,0,1,70,3,2,8
1,2.0,1,1,1,1,80,20,1,98,3,3,80
1,1.0,1,2,1,1,50,0,2,55,1,2,10
1,2.0,1,2,1,4,100,0,2,55,2,1,2
1,2.0,1,2,1,4,20,80,2,95,3,3,-9
2,,2,2,4,4,85,0,1,60,3,2,10
1,2.0,1,2,4,4,10,0,2,-9,2,2,2
1,1.0,1,1,1,1,30,70,2,100,1,1,2
1,1.0,1,2,1,1,45,20,1,90,1,2,35
2,,2,2,1,1,100,0,1,70,3,2,8
1,1.0,1,2,4,4,100,0,1,90,1,3,486
1,1.0,2,1,1,3,60,40,1,15,2,3,56
1,2.0,1,2,1,4,70,30,2,95,1,2,-9
1,2.0,1,2,4,4,100,0,1,85,3,2,25
1,2.0,1,2,4,1,65,0,2,60,1,1,11
2,,2,2,4,4,100,0,2,10,3,2,8
1,2.0,1,2,4,4,80,0,2,15,2,1,3
1,1.0,1,2,4,4,70,0,1,75,3,1,12
2,,1,2,1,4,100,0,1,90,3,3,205
1,2.0,1,2,1,1,50,50,2,75,2,1,4
2,,2,2,1,1,60,40,1,10,3,3,6
1,1.0,1,2,2,4,80,20,1,30,1,3,80
1,2.0,1,2,1,1,60,0,2,10,2,1,2
1,2.0,1,2,4,4,85,10,2,75,2,1,1
1,1.0,1,2,1,1,30,60,2,10,1,2,40
1,1.0,1,2,1,1,40,60,1,100,1,2,6
1,1.0,1,2,1,1,50,50,1,20,2,1,2
2,,2,2,4,4,100,0,1,80,3,2,25
1,2.0,1,2,1,1,50,50,2,10,2,1,2
1,2.0,1,2,4,4,100,0,1,80,2,2,2
1,2.0,1,2,1,4,80,0,1,50,3,2,16
1,2.0,1,2,1,4,70,20,2,65,2,1,2
1,1.0,1,2,1,1,0,0,2,40,2,1,2
1,1.0,1,1,1,1,30,70,1,80,2,2,4
2,,2,2,1,4,80,0,2,70,3,1,2
2,,2,2,1,1,50,30,1,10,3,2,9
2,,2,2,1,4,65,35,2,100,3,3,30
1,1.0,1,2,1,1,60,0,1,70,3,1,4
1,1.0,1,2,4,4,70,0,2,40,1,2,5
1,2.0,1,2,1,1,70,30,1,45,3,3,58
1,1.0,2,2,1,4,0,100,1,100,1,3,50
1,1.0,1,2,1,1,100,0,2,100,2,2,40
1,1.0,1,1,4,4,60,25,1,70,3,3,37
1,2.0,1,2,1,4,80,0,1,100,1,2,360
1,1.0,1,2,1,4,60,40,2,30,2,1,3
1,1.0,1,1,1,2,60,40,1,98,1,3,-9
1,1.0,1,2,1,1,50,50,1,50,2,1,6
1,2.0,1,2,3,1,25,60,2,80,1,3,156
1,2.0,1,2,1,4,75,25,1,80,1,2,20
